case_number,date_filed,time_filed,crime_type_code,description,case_status,district_name,police_station,location_name,location_lat,location_lng,investigating_officer,year_filed,month_filed,hour_of_crime
KAR/VIJ/2024/0058,2024-03-28,02:20:00,drug_offence,"Reported incident of drug offence at Near Kaul Path, Vijayapura.",open,Vijayapura,Vijayapura Suburban PS,"Near Kaul Path, Vijayapura",16.7787,75.6658,Insp. Gaurangi Batta,2024,3,2
KAR/BEN/2024/0059,2025-05-20,17:20:00,robbery,"Reported incident of robbery at Near Soman Marg, Bengaluru Urban. Suspect vehicle noticed with plate KA-15-B-7615.",chargesheeted,Bengaluru Urban,Bengaluru Urban West PS,"Near Soman Marg, Bengaluru Urban",12.8856,77.5811,Insp. Arin Walla,2025,5,17
KAR/DAV/2024/0060,2024-11-26,21:08:00,fraud,"Reported incident of fraud at Near Jain Circle, Davangere.",chargesheeted,Davangere,Davangere Market PS,"Near Jain Circle, Davangere",14.4258,75.8723,Insp. Anamika Gopal,2024,11,21
KAR/MAN/2024/0061,2024-04-13,20:12:00,murder,"Reported incident of murder at Near Gour Path, Mandya.",open,Mandya,Mandya Suburban PS,"Near Gour Path, Mandya",12.5049,76.8577,Insp. Teerth Sundaram,2024,4,20
KAR/CHI/2024/0062,2024-11-20,01:38:00,cybercrime,"Reported incident of cybercrime at Near Johal Road, Chikkamagaluru.",under_investigation,Chikkamagaluru,Chikkamagaluru Market PS,"Near Johal Road, Chikkamagaluru",13.3958,75.7145,Insp. Udant Sami,2024,11,1
KAR/BEN/2024/0063,2024-02-08,23:52:00,chain_snatching,"Reported incident of chain snatching at Near Bhattacharyya Marg, Bengaluru Urban. Suspect vehicle noticed with plate KA-52-A-1835.",chargesheeted,Bengaluru Urban,Bengaluru Urban West PS,"Near Bhattacharyya Marg, Bengaluru Urban",12.8832,77.5484,Insp. Wishi Murty,2024,2,23
KAR/BEN/2024/0064,2025-02-07,12:55:00,fraud,"Reported incident of fraud at Near Anand Marg, Bengaluru Urban.",open,Bengaluru Urban,Bengaluru Urban West PS,"Near Anand Marg, Bengaluru Urban",12.9105,77.5376,Insp. Indira Minhas,2025,2,12
KAR/BEN/2024/0065,2024-10-27,05:18:00,drug_offence,"Reported incident of drug offence at Near Dave Road, Bengaluru Rural.",open,Bengaluru Rural,Bengaluru Rural Traffic PS,"Near Dave Road, Bengaluru Rural",13.2827,77.5265,Insp. Anirudh Dey,2024,10,5
KAR/TUM/2024/0066,2024-11-01,00:09:00,chain_snatching,"Reported incident of chain snatching at Near Brahmbhatt Chowk, Tumakuru. Suspect vehicle noticed with plate KA-53-B-2890.",closed,Tumakuru,Tumakuru Industrial PS,"Near Brahmbhatt Chowk, Tumakuru",13.3393,77.0588,Insp. Ojas Sarin,2024,11,0
KAR/SHI/2024/0067,2024-03-26,12:22:00,chain_snatching,"Reported incident of chain snatching at Near Chander Road, Shivamogga. Suspect vehicle noticed with plate KA-53-P-9723.",open,Shivamogga,Shivamogga Town PS,"Near Chander Road, Shivamogga",14.0174,75.6437,Insp. Balendra Sengupta,2024,3,12
KAR/BEN/2024/0068,2024-07-19,01:25:00,domestic_violence,"Reported incident of domestic violence at Near Rama Street, Bengaluru Urban.",open,Bengaluru Urban,Bengaluru Urban Central PS,"Near Rama Street, Bengaluru Urban",12.9406,77.594,Insp. Henry Kashyap,2024,7,1
KAR/SHI/2024/0069,2024-03-31,23:02:00,assault,"Reported incident of assault at Near Warrior Zila, Shivamogga.",chargesheeted,Shivamogga,Shivamogga Town PS,"Near Warrior Zila, Shivamogga",13.9874,75.6335,Insp. Indali Chauhan,2024,3,23
KAR/BEN/2024/0070,2025-05-26,18:30:00,fraud,"Reported incident of fraud at Near Kamdar Road, Bengaluru Urban.",open,Bengaluru Urban,Bengaluru Urban North PS,"Near Kamdar Road, Bengaluru Urban",12.9747,77.5741,Insp. Aadi Prasad,2025,5,18
KAR/BAL/2024/0071,2024-11-25,04:40:00,robbery,"Reported incident of robbery at Near Gokhale Street, Ballari. Suspect vehicle noticed with plate KA-25-A-4900.",chargesheeted,Ballari,Ballari Industrial PS,"Near Gokhale Street, Ballari",15.0964,76.9192,Insp. Joshua Chakrabarti,2024,11,4
KAR/DAV/2024/0072,2025-02-11,13:29:00,vehicle_theft,"Reported incident of vehicle theft at Near Kota, Davangere. Suspect vehicle noticed with plate KA-24-B-6129.",open,Davangere,Davangere Industrial PS,"Near Kota, Davangere",14.3746,75.9789,Insp. Ekapad Soni,2025,2,13
KAR/RAI/2024/0073,2024-12-05,05:48:00,vehicle_theft,"Reported incident of vehicle theft at Near Bhagat Road, Raichur. Suspect vehicle noticed with plate KA-37-N-6878.",under_investigation,Raichur,Raichur Rural PS,"Near Bhagat Road, Raichur",16.1603,77.2772,Insp. Yatin Badal,2024,12,5
KAR/TUM/2024/0074,2025-02-12,05:11:00,robbery,"Reported incident of robbery at Near Seshadri Ganj, Tumakuru. Suspect vehicle noticed with plate KA-54-KB-1208.",under_investigation,Tumakuru,Tumakuru Rural PS,"Near Seshadri Ganj, Tumakuru",13.3073,77.1018,Insp. Forum Tiwari,2025,2,5
KAR/BEN/2024/0075,2024-05-18,00:32:00,robbery,"Reported incident of robbery at Near Warrior Ganj, Bengaluru Urban. Suspect vehicle noticed with plate KA-23-P-8138.",open,Bengaluru Urban,Bengaluru Urban East PS,"Near Warrior Ganj, Bengaluru Urban",13.0523,77.618,Insp. Andrew Dixit,2024,5,0
KAR/SHI/2024/0076,2024-08-03,07:55:00,drug_offence,"Reported incident of drug offence at Near Nayar Street, Shivamogga.",under_investigation,Shivamogga,Shivamogga Market PS,"Near Nayar Street, Shivamogga",13.889,75.5669,Insp. Gopal Jain,2024,8,7
KAR/HUB/2024/0077,2024-06-04,19:16:00,hit_and_run,"Reported incident of hit and run at Near Hans Circle, Hubballi-Dharwad.",chargesheeted,Hubballi-Dharwad,Hubballi-Dharwad Suburban PS,"Near Hans Circle, Hubballi-Dharwad",15.3616,75.0801,Insp. Ranveer Verma,2024,6,19
KAR/KOL/2024/0078,2024-07-26,05:42:00,vehicle_theft,"Reported incident of vehicle theft at Near Majumdar Ganj, Kolar. Suspect vehicle noticed with plate KA-49-A-6852.",open,Kolar,Kolar Suburban PS,"Near Majumdar Ganj, Kolar",13.1473,78.0568,Insp. Gopal Sathe,2024,7,5
KAR/BEN/2024/0079,2025-04-11,13:24:00,drug_offence,"Reported incident of drug offence at Near Char Ganj, Bengaluru Urban.",under_investigation,Bengaluru Urban,Bengaluru Urban Central PS,"Near Char Ganj, Bengaluru Urban",12.9226,77.5805,Insp. Sachi Kaur,2025,4,13
KAR/TUM/2024/0080,2024-09-19,02:02:00,burglary,"Reported incident of burglary at Near Verma Road, Tumakuru.",closed,Tumakuru,Tumakuru Suburban PS,"Near Verma Road, Tumakuru",13.2894,77.0916,Insp. Aahana Dhar,2024,9,2
KAR/BEN/2024/0081,2025-04-16,18:28:00,robbery,"Reported incident of robbery at Near Maharaj Path, Bengaluru Urban. Suspect vehicle noticed with plate KA-33-M-3346.",closed,Bengaluru Urban,Bengaluru Urban East PS,"Near Maharaj Path, Bengaluru Urban",13.066,77.5821,Insp. Oscar Bal,2025,4,18
KAR/BEN/2024/0082,2024-11-16,06:46:00,vehicle_theft,"Reported incident of vehicle theft at Near Bhardwaj Ganj, Bengaluru Urban. Suspect vehicle noticed with plate KA-35-B-2842.",chargesheeted,Bengaluru Urban,Bengaluru Urban South PS,"Near Bhardwaj Ganj, Bengaluru Urban",12.9688,77.5195,Insp. Rajata Mishra,2024,11,6
KAR/TUM/2024/0083,2025-03-11,01:50:00,fraud,"Reported incident of fraud at Near Singhal Circle, Tumakuru.",under_investigation,Tumakuru,Tumakuru Traffic PS,"Near Singhal Circle, Tumakuru",13.3279,77.0617,Insp. Rajeshri Mitra,2025,3,1
KAR/BEN/2024/0084,2024-06-04,18:28:00,burglary,"Reported incident of burglary at Near Bhatia Path, Bengaluru Rural.",chargesheeted,Bengaluru Rural,Bengaluru Rural South PS,"Near Bhatia Path, Bengaluru Rural",13.1325,77.6226,Insp. Gopal Wagle,2024,6,18
KAR/BEN/2024/0085,2024-12-25,12:57:00,chain_snatching,"Reported incident of chain snatching at Near Pillay Street, Bengaluru Urban. Suspect vehicle noticed with plate KA-07-B-8530.",under_investigation,Bengaluru Urban,Bengaluru Urban East PS,"Near Pillay Street, Bengaluru Urban",13.0275,77.5907,Insp. Urmi Viswanathan,2024,12,12
KAR/BEN/2024/0086,2024-06-16,05:34:00,kidnapping,"Reported incident of kidnapping at Near Goda Road, Bengaluru Urban.",under_investigation,Bengaluru Urban,Bengaluru Urban West PS,"Near Goda Road, Bengaluru Urban",12.9109,77.5424,Insp. Orinder Raghavan,2024,6,5
KAR/MAN/2024/0087,2024-02-29,15:04:00,vehicle_theft,"Reported incident of vehicle theft at Near Bajaj Road, Mandya. Suspect vehicle noticed with plate KA-38-B-7632.",chargesheeted,Mandya,Mandya Suburban PS,"Near Bajaj Road, Mandya",12.5023,76.8531,Insp. Anika Hayre,2024,2,15
KAR/BEN/2024/0088,2025-05-19,13:33:00,domestic_violence,"Reported incident of domestic violence at Near Sant Marg, Bengaluru Rural.",under_investigation,Bengaluru Rural,Bengaluru Rural North PS,"Near Sant Marg, Bengaluru Rural",13.2547,77.5061,Insp. Ranveer Hora,2025,5,13
KAR/BEN/2024/0089,2024-04-23,05:21:00,burglary,"Reported incident of burglary at Near Sathe Marg, Bengaluru Urban.",open,Bengaluru Urban,Bengaluru Urban Traffic PS,"Near Sathe Marg, Bengaluru Urban",12.9693,77.6302,Insp. Arjun Bawa,2024,4,5
KAR/KOP/2024/0090,2025-02-28,18:10:00,burglary,"Reported incident of burglary at Near Bhasin Path, Koppal.",under_investigation,Koppal,Koppal Market PS,"Near Bhasin Path, Koppal",15.3963,76.2054,Insp. Barkha Lall,2025,2,18
KAR/MYS/2024/0091,2024-03-03,16:16:00,eve_teasing,"Reported incident of eve teasing at Near Rau Road, Mysuru.",under_investigation,Mysuru,Mysuru West PS,"Near Rau Road, Mysuru",12.3506,76.5948,Insp. Aarna Kala,2024,3,16
KAR/SHI/2024/0092,2024-01-25,02:47:00,chain_snatching,"Reported incident of chain snatching at Near Nori Circle, Shivamogga. Suspect vehicle noticed with plate KA-52-P-2552.",open,Shivamogga,Shivamogga Traffic PS,"Near Nori Circle, Shivamogga",14.0056,75.6236,Insp. Nakul Nagi,2024,1,2
KAR/BEN/2024/0093,2024-10-02,12:59:00,chain_snatching,"Reported incident of chain snatching at Near Babu Ganj, Bengaluru Urban. Suspect vehicle noticed with plate KA-02-KB-4854.",under_investigation,Bengaluru Urban,Bengaluru Urban South PS,"Near Babu Ganj, Bengaluru Urban",12.9878,77.528,Insp. Jason Dhawan,2024,10,12
KAR/MAN/2024/0094,2024-12-22,14:47:00,chain_snatching,"Reported incident of chain snatching at Near Mody Marg, Mangaluru (Dakshina Kannada). Suspect vehicle noticed with plate KA-27-B-6437.",chargesheeted,Mangaluru (Dakshina Kannada),Mangaluru (Dakshina Kannada) Suburban PS,"Near Mody Marg, Mangaluru (Dakshina Kannada)",12.8527,74.8868,Insp. Xavier Mukherjee,2024,12,14
KAR/SHI/2024/0095,2025-02-22,20:03:00,fraud,"Reported incident of fraud at Near Dube Nagar, Shivamogga.",under_investigation,Shivamogga,Shivamogga Rural PS,"Near Dube Nagar, Shivamogga",13.904,75.5196,Insp. Lavanya Randhawa,2025,2,20
